participant_id	ant_corr	ant_incorr	ant_RT	alerting-code	cued-code	congruency-code
sub-pp001	1.0	0.0	589.0	0.0	0.0	2.0
sub-pp001	1.0	0.0	494.0	1.0	2.0	1.0
sub-pp001	1.0	0.0	373.0	1.0	0.0	1.0
sub-pp001	1.0	0.0	489.0	1.0	2.0	0.0
sub-pp001	1.0	0.0	577.0	1.0	2.0	2.0
sub-pp001	1.0	0.0	376.0	0.0	1.0	2.0
sub-pp001	1.0	0.0	438.0	0.0	1.0	1.0
sub-pp001	1.0	0.0	437.0	1.0	1.0	2.0
sub-pp001	1.0	0.0	340.0	0.0	1.0	2.0
sub-pp001	1.0	0.0	452.0	1.0	2.0	2.0
sub-pp001	1.0	0.0	425.0	1.0	2.0	1.0
